record_id,incident_date,year,month,city_municipality,barangay,latitude,longitude,flood_risk_level,flood_depth_meters,flood_category,flood_duration_hours,rainfall_mm,weather_condition,typhoon_name,typhoon_alert_level,affected_population,affected_families,evacuees,evacuation_center,fatalities,injuries,estimated_damage_php,infrastructure_damaged,relief_goods_distributed,response_time_hours,data_source
1,2004-12-29,2004,December,Malabon,Longos,14.6624,120.9571,Very High,0.6,Waist-deep,82,320.7,Heavy Rain,None (Monsoon),None,2206,443,478,Malabon National High School,0,3,745935,Bridges and Roads,Yes,13.7,DSWD
2,2018-10-26,2018,October,Malabon,Panghulo,14.6683,120.9573,Very High,1.38,Chest-deep,162,372.3,Scattered Showers,None (Monsoon),None,2478,705,973,Catmon Covered Court,0,2,3182411,Roads and Homes,Yes,8.9,PAGASA
3,2011-11-12,2011,November,Malabon,Tañong,14.6598,120.957,Very High,3.73,House-roof level,129,81.5,Monsoon Rains,Tisoy,Signal No. 3,4592,859,860,Longos Elementary School,0,18,42314143,Roads and Homes,No,11.2,PAGASA
4,2007-04-18,2007,April,Malabon,Catmon,14.659899999999999,120.9554,Very High,1.98,Neck-deep,65,309.2,Continuous Rain,None (Monsoon),None,5690,1058,1309,Malabon National High School,0,5,16048931,None,Yes,16.6,NDRRMC
5,2010-04-10,2010,April,Malabon,Hulong Duhat,14.6612,120.9553,High,2.52,House-roof level,46,427.2,Scattered Showers,None (Monsoon),None,3486,888,484,Longos Elementary School,0,20,12454130,Bridges and Roads,No,18.1,LGU Report
6,2017-11-30,2017,November,Malabon,Acacia,14.6653,120.9568,High,1.28,Chest-deep,23,394.4,Monsoon Rains,Pepito,Signal No. 4,4374,872,824,Malabon City Hall Covered Court,0,6,7072519,Bridges and Roads,Yes,16.5,NDRRMC
7,2024-02-01,2024,February,Navotas,Bangculasi,14.661299999999999,120.942,Very High,3.5,House-roof level,99,51.3,Scattered Showers,None (Monsoon),None,1113,291,264,Tangos National High School,0,6,8729960,Bridges and Roads,Yes,4.1,MMDA
8,2024-03-12,2024,March,Navotas,Daanghari,14.6591,120.9434,Very High,4.31,House-roof level,147,57.8,Scattered Showers,None (Monsoon),None,7724,1861,1159,Bangculasi Elementary School,5,5,22348102,Bridges and Roads,Yes,3.5,LGU Report
9,2024-08-29,2024,August,Navotas,Navotas East,14.657599999999999,120.94069999999999,Very High,1.16,Chest-deep,147,421.6,Continuous Rain,None (Monsoon),None,7346,1353,2438,Navotas City Hall Gymnasium,0,6,21220731,Bridges and Roads,No,3.3,MMDA
10,2002-11-15,2002,November,Navotas,Navotas West,14.655299999999999,120.93939999999999,Very High,1.85,Neck-deep,162,78.4,Continuous Rain,None (Monsoon),None,4737,1202,1037,Navotas Sports Complex,0,10,5623634,Bridges,Yes,17.5,DSWD
